TotalSteps,TotalDistance,Calories,SCORE
6175,4.900000095,2982,0
2946,2.339999914,2660,0
11419,9.06000042,3369,0
6064,4.809999943,3491,0
8712,6.909999847,3784,0
7875,6.239999771,3110,0
8567,6.789999962,3783,0
7045,5.590000153,3644,0
4468,3.539999962,2799,0
2943,2.329999924,2685,0
8382,6.650000095,3721,0
6582,5.21999979,3586,0
9143,7.25,3788,0
4561,3.619999886,1976,0
5014,3.910000086,2650,0
5571,4.349999905,2654,0
3135,2.450000048,2443,0
3430,2.680000067,2505,0
5319,4.150000095,2693,0
3008,2.349999905,2439,0
3864,3.00999999,2536,0
5697,4.440000057,2668,0
5273,4.110000134,2647,0
8538,6.659999847,2883,0
8687,6.78000021,2944,0
9423,7.349999905,3012,0
8286,6.460000038,2889,0
4503,3.50999999,2547,0
10499,8.18999958,3093,0
12474,9.729999542,3142,0
6174,4.820000172,2757,0
15168,11.82999992,3513,0
10085,7.869999886,3164,0
4512,3.519999981,2596,0
8469,6.610000134,2894,0
12015,9.369999886,3212,0
3588,2.799999952,2516,0
12427,9.68999958,3266,0
5843,4.559999943,2683,0
6117,4.769999981,2810,0
9217,7.190000057,2940,0
9877,7.699999809,2947,0
8240,6.429999828,2846,0
8701,6.789999962,2804,0
0,0,0,0
2564,1.639999986,2044,0
1320,0.839999974,1934,0
1219,0.779999971,1963,0
2483,1.590000033,2009,0
244,0.159999996,1721,0
0,0,1688,0
0,0,1688,0
0,0,1688,0
3147,2.00999999,2188,0
144,0.090000004,1720,0
4068,2.599999905,2419,0
5245,3.359999895,2748,0
400,0.25999999,1799,0
0,0,1688,0
1321,0.850000024,1928,0
1758,1.129999995,2067,0
6157,3.940000057,2780,0
8360,5.349999905,3101,0
7174,4.590000153,2896,0
1619,1.039999962,1962,0
1831,1.169999957,2015,0
2421,1.549999952,2297,0
2283,1.460000038,2067,0
0,0,1688,0
0,0,1688,0
0,0,1688,0
0,0,1688,0
0,0,1688,0
0,0,57,0
23186,20.39999962,3921,0
15337,9.579999924,3566,0
21129,18.97999954,3793,0
13422,7.170000076,3934,0
29326,25.29000092,4547,0
15118,8.869999886,3545,0
11423,8.670000076,2761,0
18785,17.39999962,3676,0
19948,18.11000061,3679,0
19377,17.62000084,3659,0
18258,16.30999947,3427,0
11200,7.429999828,3891,0
16674,15.73999977,3455,0
12986,8.739999771,3802,0
11101,8.430000305,2860,0
23629,20.64999962,3808,0
14890,11.30000019,3060,0
9733,7.389999866,2698,0
27745,26.71999931,4398,0
10930,8.319999695,2786,0
4790,3.640000105,2189,0
10818,8.210000038,2817,0
18193,16.29999924,3477,0
14055,10.67000008,3052,0
21727,19.34000015,4015,0
12332,8.130000114,4142,0
10686,8.109999657,2847,0
20226,18.25,3710,0
10733,8.149999619,2832,0
21420,19.55999947,3832,0
8064,6.119999886,1849,0
